transaction_id;customer_id;date;total_amount;payment_method
0;2;01/01/2024;120345.5;e-wallet
1;1;02/02/2023;453234.11;credit_card
2;3;03/03/2022;153500.0;cash
3;9;04/04/2024;213456.32;e-wallet
4;7;05/01/2023;89000.2;cash
5;21;06/09/2022;305000.0;credit_card
6;6;07/11/2024;175450.0;e-wallet
7;12;08/11/2021;410000.0;cash
8;9;09/04/2022;142000.0;credit_card
9;6;10/01/2023;209000.0;e-wallet
10;8;11/02/2024;99000.0;credit_card
11;3;12/02/2022;321000.0;cash
12;5;13/02/2024;187500.0;e-wallet
13;7;14/01/2021;245000.0;credit_card
14;4;15/01/2025;310000.0;cash
15;21;16/01/2021;450000.0;e-wallet
16;2;17/02/2022;120000.0;credit_card
17;1;18/01/2024;56000.0;cash
18;3;19/05/2024;78000.0;e-wallet
19;5;20/01/2023;150000.0;credit_card
20;4;21/03/2023;200000.0;cash
21;22;22/06/2022;300000.0;e-wallet
22;10;23/01/2022;450000.0;credit_card
23;13;24/07/2022;60000.0;cash
24;15;25/06/2021;120000.0;e-wallet
25;4;26/04/2019;200000.0;credit_card
26;22;27/02/2024;300000.0;cash
27;8;09/03/2019;13170000.0;e-wallet
28;28;03/01/2020;1710000.0;cash
29;35;15/10/2021;3780000.0;e-wallet
30;22;07/07/2022;2500000.0;credit_card
31;7;20/08/2023;7150000.0;e-wallet
32;19;07/09/2024;2160000.0;e-wallet
33;25;21/08/2019;2339999.0;e-wallet
34;5;24/06/2020;7920000.0;credit_card
35;15;08/07/2021;1200000.0;credit_card
36;21;16/06/2022;1500000.0;cash
37;36;19/09/2023;3499999.0;cash
38;32;28/01/2024;435000.0;cash
39;28;13/02/2019;3370000.0;credit_card
40;8;11/09/2020;300000.0;credit_card
41;17;04/06/2021;2809999.0;credit_card
42;35;11/03/2022;2130000.0;e-wallet
43;16;24/01/2023;2545000.0;e-wallet
44;11;28/09/2024;6105000.0;e-wallet
45;26;17/08/2019;2500000.0;e-wallet
46;2;08/06/2020;2720000.0;cash
47;5;22/05/2021;5670000.0;cash
48;31;26/05/2022;340000.0;e-wallet
49;23;15/11/2023;4340000.0;e-wallet
50;22;07/01/2024;860000.0;credit_card
51;18;28/10/2019;2370000.0;credit_card
52;6;14/04/2020;1990000.0;e-wallet
53;1;26/11/2021;6105000.0;credit_card
54;32;10/04/2022;8419999.0;e-wallet
55;4;28/12/2023;8750000.0;e-wallet
56;16;19/10/2024;480000.0;cash
57;27;07/08/2019;1500000.0;credit_card
58;9;11/08/2020;900000.0;e-wallet
59;7;07/03/2021;1980000.0;e-wallet
60;24;15/07/2022;1660000.0;cash
61;36;04/09/2023;6920000.0;e-wallet
62;10;20/08/2024;510000.0;credit_card
63;17;28/11/2019;1470000.0;cash
64;22;09/06/2020;5250000.0;credit_card
65;10;19/02/2021;500000.0;credit_card
66;24;07/02/2022;5999997.0;cash
67;27;28/04/2023;4030000.0;e-wallet
68;27;06/05/2024;1830000.0;e-wallet
69;15;12/05/2019;750000.0;e-wallet
70;13;09/11/2020;3090000.0;credit_card
71;35;04/07/2021;960000.0;credit_card
72;3;14/03/2022;3940000.0;credit_card
73;13;23/07/2023;6350000.0;cash
74;24;22/10/2024;3950000.0;cash
75;33;14/09/2019;520000.0;cash
76;25;19/06/2020;1500000.0;cash
77;14;20/12/2021;1350000.0;credit_card
78;31;03/06/2022;2550000.0;cash
79;15;01/04/2023;4180000.0;credit_card
80;13;13/11/2024;690000.0;cash
81;34;18/10/2019;1510000.0;e-wallet
82;36;20/08/2020;2130000.0;cash
83;31;25/11/2021;1335000.0;cash
84;16;03/08/2022;6969998.0;e-wallet
85;6;08/04/2023;7869997.0;e-wallet
86;30;07/10/2024;5440000.0;credit_card
87;1;25/08/2019;7320000.0;credit_card
88;32;14/05/2020;800000.0;credit_card
89;11;20/10/2021;2030000.0;credit_card
90;9;02/10/2022;600000.0;credit_card
91;22;25/11/2023;910000.0;credit_card
92;35;08/02/2024;145000.0;cash
93;16;20/04/2019;650000.0;e-wallet
94;30;06/08/2020;2480000.0;cash
95;20;23/11/2021;5760000.0;cash
96;8;18/02/2022;660000.0;credit_card
97;22;27/02/2023;2230000.0;credit_card
98;28;17/06/2024;1325000.0;credit_card
99;18;27/07/2019;1740000.0;credit_card
100;25;16/07/2020;590000.0;e-wallet
101;22;23/09/2021;220000.0;cash
102;6;14/06/2022;4980000.0;e-wallet
103;6;13/07/2023;2300000.0;credit_card
104;28;23/08/2024;2040000.0;credit_card
105;21;18/03/2019;150000.0;cash
106;31;19/09/2020;2110000.0;cash
107;24;01/05/2021;690000.0;e-wallet
