customer_id,product_id,year,quarter,preference_score,age,gender,city,membership_level,category,brand,price,quantity,unit_price,total_amount
2,1.0,2024,1,0.5462129601392371,35,F,Bandung,silver,1,Brand A,250000.0,2.0,250000.0,120345.5
2,3.0,2024,1,0.598732731041121,35,F,Bandung,silver,2,Brand C,500000.0,1.0,500000.0,120345.5
2,7.0,2024,1,0.6159962962718665,35,F,Bandung,silver,3,Brand B,860000.0,3.0,860000.0,120345.5
1,2.0,2023,1,0.5036409657088394,29,M,Jakarta,bronze,2,Brand B,1250000.0,1.0,1250000.0,453234.11
1,4.0,2023,1,0.5719289720527927,29,M,Jakarta,bronze,2,Brand D,150000.0,2.0,150000.0,453234.11
3,5.0,2022,1,0.7977812568543039,40,M,Medan,gold,2,Brand E,750000.0,1.0,750000.0,153500.0
3,6.0,2022,1,0.9824103779757299,40,M,Medan,gold,1,Brand A,1999999.0,1.0,1999999.0,153500.0
9,8.0,2024,2,0.8623222220220637,26,M,Surabaya,platinum,3,Brand C,300000.0,2.0,300000.0,213456.32
7,9.0,2023,1,0.5781974202841275,21,M,Medan,silver,3,Brand D,220000.0,1.0,220000.0,89000.2
21,10.0,2022,3,0.960522456097897,44,F,Jakarta,platinum,3,Brand E,480000.0,3.0,480000.0,305000.0
6,11.0,2024,4,0.34311462747240157,45,F,Jakarta,bronze,3,Brand A,170000.0,2.0,170000.0,175450.0
6,12.0,2024,4,0.6563060894722604,45,F,Jakarta,bronze,3,Brand B,1890000.0,1.0,1890000.0,175450.0
12,13.0,2021,4,0.22785488395630613,31,F,Bandung,silver,4,Brand C,145000.0,1.0,145000.0,410000.0
9,14.0,2022,2,0.5956298531942521,26,M,Surabaya,platinum,5,Brand D,610000.0,2.0,610000.0,142000.0
6,15.0,2023,1,0.5908619517476704,45,F,Jakarta,bronze,6,Brand E,990000.0,1.0,990000.0,209000.0
8,2.0,2019,1,0.5763856659566723,60,F,Bandung,gold,2,Brand B,1250000.0,3.0,1250000.0,13170000.0
8,12.0,2019,1,0.4543968421251684,60,F,Bandung,gold,3,Brand B,1890000.0,3.0,1890000.0,13170000.0
8,2.0,2019,1,0.9367505767363065,60,F,Bandung,gold,2,Brand B,1250000.0,3.0,1250000.0,13170000.0
28,1.0,2020,1,0.2596232697844185,20,M,Surabaya,silver,1,Brand A,250000.0,3.0,250000.0,1710000.0
28,4.0,2020,1,0.35356975291664533,20,M,Surabaya,silver,2,Brand D,150000.0,3.0,150000.0,1710000.0
28,11.0,2020,1,0.6837118494459411,20,M,Surabaya,silver,3,Brand A,170000.0,3.0,170000.0,1710000.0
35,12.0,2021,4,0.45231910863052954,39,F,Medan,gold,3,Brand B,1890000.0,2.0,1890000.0,3780000.0
22,2.0,2022,3,0.3039901185795496,27,M,Bandung,bronze,2,Brand B,1250000.0,2.0,1250000.0,2500000.0
